"Idade"	"AMERICAN_EXPERIENCE"	"AT2000_Suavizada_10_FEM"	"AT2000_Suavizada_10_MAS"	"AT.2000_FEMALE"	"AT.2000_MALE"	"AT.49_FEMALE"	"AT.49_MALE"	"AT.83_FEMALE_IAM"	"AT.83_MALE_IAM"	"BR.EMSmt.v.2010.f"	"BR.EMSmt.v.2010.m"	"BR.EMSsb.v.2010.f"	"BR.EMSsb.v.2010.m"	"CSG.60"	"CSO.41"	"CSO.58"	"CSO58.FEM.AGE_LAST"	"CSO58.FEM.AGE_NEAREST"	"CSO58.MAS.AGE_LAST"	"CSO58.MAS.AGE_NEAREST"	"CSO58_FEMALE"	"CSO58_MALE"	"CSO80"	"GAM.71_FEMALE"	"GAM.71_MALE"	"IBGE_2006"	"IBGE_2007"	"IBGE_2008"	"IBGE_2009"	"GRUPAL_AMERICANA"	"HUNTERS"
107	1	0.401054	0.423813	0.421042	0.448823	0.731092	0.710898	0.428023	0.483406	0.58801	0.58801	0.47011	0.47011	1	1	1	1	1	1	1	1	1	1	0.640345	0.606069	1	1	1	1	1	1
108	1	0.44786	0.470893	0.466516	0.494681	0.770105	0.745822	0.473692	0.528989	0.64387	0.64387	0.51562	0.51562	1	1	1	1	1	1	1	1	1	1	0.716944	0.687444	1	1	1	1	1	1
109	1	0.501498	0.524128	0.51852	0.546231	1	1	0.525658	0.579351	0.70505	0.70505	0.56553	0.56553	1	1	1	1	1	1	1	1	1	1	0.806309	0.785555	1	1	1	1	1	1
110	1	0.562563	0.584004	0.577631	0.603917	1	1	0.584462	0.634814	0.77204	0.77204	0.62029	0.62029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
111	1	0.631645	0.651007	0.644427	0.668186	1	1	0.650646	0.695704	0.8454	0.8454	0.68035	0.68035	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
112	1	0.709338	0.725622	0.719484	0.739483	1	1	0.72475	0.762343	0.92575	0.92575	0.74623	0.74623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
113	1	0.796233	0.808336	0.80338	0.818254	1	1	0.807316	0.835056	1	1	0.81849	0.81849	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
114	1	0.892923	0.899633	0.896693	0.904945	1	1	0.898885	0.914167	1	1	0.89776	0.89776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
115	1	1	1	1	1	1	1	1	1	1	1	0.98471	0.98471	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
